priority_tier,area,store_name,address,phone,map_link,instagram_or_site,review_count,rating,store_type,store_tone,location_score,specialty_score,contactability_score,total_score,priority_grade,message_type,contact_status,last_contact_date,notes
1,강남역,강남역전자담배프라자,서울 강남구 강남대로84길 23 2층 207-2호,010-4933-1901,,,,,전자담배 전문점,강남역 메인상권,5,4,5,14,A,2,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요
1,강남역,큐브전자담배,서울 강남구 강남대로66길 14 와이즈플레이스 1층,010-9296-3638,,,,,전자담배 전문점,강남역 메인상권,5,4,5,14,A,2,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요
1,강남역,베이프스트릿 강남점,서울 강남구 강남대로 438 2층 212호,010-3389-5115,,,,,전자담배 전문점,강남대로 대로변,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요
1,강남역,킹콩전자담배 강남역점,서울 강남구 강남대로 390 미진프라자 지하1층,010-5127-1225,,,,,전자담배 전문점,유동인구 높음,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요
1,강남역,강남역전자담배멀티샵,서울 강남구 역삼로 111 대세빌딩 1층,070-7943-9445,,,,,멀티샵,접근성 양호,4,4,4,12,A,2,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요
1,강남역,마샤 베이프,서울 서초구 강남대로65길 12 한서그린빌리지 101호,010-7460-3550,https://m.martha-vape.com/bs21/layout/map_store2.html,, , ,전자담배 전문점,강남역 인접,5,3,4,12,A,3,미접촉,,기존 02 번호 대신 공개 웹 검색상 확인된 010 번호로 교체. 상호 표기 재확인 권장
1,강남역,원더베이프 강남,서울 강남구 테헤란로4길 46 114호,010-9121-1852,,,,,전자담배 전문점,역삼-강남 연결축,4,4,4,12,A,2,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요
1,강남역,시가브로,서울 강남구 테헤란로 147 성지하이츠Ⅱ 제지하층 13호,1800-7495,,,,,시가/전자담배 복합,오피스 상권형,4,3,4,11,B,3,미접촉,,공개 웹 검색 기반 초안. 주소/번호 보강
1,강남역,강남전자담배마샤 신논현역점,서울 강남구 봉은사로 106,02-508-1179,https://m.martha-vape.com/bs21/layout/map_store2.html,, , ,전자담배 전문점,신논현 핵심상권,5,4,5,14,A,1,미접촉,,현재 공개 검색상 매장 직통 02만 확인. 010은 브랜드 고객센터로 보여 보수적으로 미반영
1,강남역,저스트포그 강남본점,서울 서초구 강남대로 309,010-4007-9783,https://m.justfog.co.kr/stockist.html,, , ,전자담배 전문점,브랜드 취급점급,5,4,5,14,A,1,미접촉,,공개 웹 검색 기준 강남권 취급점 주소/번호. 상호 직접 확인 필요
1,신논현/논현,더베이프샵 다미 신논현점,서울 서초구 강남대로 455 강남태영데시앙루브 B102호,010-9780-5262,https://m.swidn.com/store,, , ,전자담배 전문점,신논현 메인상권,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안. 주소 보강
1,신논현/논현,킹콩전자담배 논현동점,서울 강남구 학동로2길 6 1층,0507-1434-6002,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,, , ,전자담배 전문점,논현 상권,4,4,4,12,A,2,미접촉,,공개 웹 검색 기반 초안. 스마트콜 우선 기록
1,신논현/논현,,,,,,,,,,,,,,,,,,
1,신논현/논현,,,,,,,,,,,,,,,,,,
1,신논현/논현,,,,,,,,,,,,,,,,,,
1,신논현/논현,,,,,,,,,,,,,,,,,,
1,역삼/선릉,역삼전자담배멀티샵,서울 강남구 역삼로 139,010-6268-6451,,,,,멀티샵,역삼 상권,4,4,4,12,A,2,미접촉,,기존 02 번호 대신 공개 검색상 확인된 010 번호로 교체
1,역삼/선릉,엔드퍼프 역삼점,,010-2581-3799,https://end-puff.com/bs21/layout/map_all2.html,, , ,전자담배 전문점,역삼 오피스상권,4,4,4,12,A,1,미접촉,,지점명 직접 확인 불가. 번호만 유지하고 주소 재검증 필요
1,역삼/선릉,시가모아전자담배 강남선릉점,서울 강남구 테헤란로 306 카이트타워,010-5719-6685,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/542/,, , ,전자담배 전문점,선릉 인접,4,4,4,12,A,2,미접촉,,공개 웹 검색 기반 초안. 주소 보강
1,역삼/선릉,홀릭전자담배 선릉점,서울 강남구 선릉로86길 31 롯데골드로즈2차 1층,010-3337-9457,,,,,전자담배 전문점,선릉 핵심상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안
1,역삼/선릉,마샤 베이프 선릉점,서울 강남구 선릉로 420 1층,010-8797-1511,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,선릉 메인축,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안
1,역삼/선릉,vaping lounge,서울 강남구 선릉로155길 28 1층,010-4806-6928,,,,,전자담배 전문점,청담/선릉 연결축,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안
1,삼성/코엑스,마샤 베이프 대치동점,서울 강남구 영동대로85길 20 대치3차아이파크오피스텔 301호,010-2816-5801,https://m.martha-vape.com/bs21/layout/map_store2.html,, , ,전자담배 전문점,삼성역/대치 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안. 주소/번호 보강
1,삼성/코엑스,킹콩전자담배 삼성점,서울 강남구 봉은사로82길 25,010-3462-9876,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,, , ,전자담배 전문점,삼성동 핵심상권,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안
